open_time,open,high,low,close,volume
2025-07-06 17:50:00,663.09,663.1,663.09,663.09,29.03
2025-07-06 17:51:00,663.1,663.1,663.09,663.09,13.538
2025-07-06 17:52:00,663.1,663.1,662.95,662.95,96.461
2025-07-06 17:53:00,662.95,662.96,662.88,662.89,17.273
2025-07-06 17:54:00,662.88,662.89,662.75,662.76,14.287
2025-07-06 17:55:00,662.76,662.76,662.75,662.76,36.969
2025-07-06 17:56:00,662.75,662.81,662.59,662.81,179.859
2025-07-06 17:57:00,662.81,662.86,662.8,662.86,14.462
2025-07-06 17:58:00,662.85,662.9,662.85,662.89,47.126
2025-07-06 17:59:00,662.9,662.9,662.84,662.85,7.346
2025-07-06 18:00:00,662.84,663.0,662.84,662.97,189.86
2025-07-06 18:01:00,662.98,662.98,662.97,662.97,17.795
2025-07-06 18:02:00,662.97,662.98,662.97,662.97,35.255
2025-07-06 18:03:00,662.97,662.98,662.84,662.93,152.904
2025-07-06 18:04:00,662.93,663.0,662.88,662.99,73.252
2025-07-06 18:05:00,663.0,663.1,663.0,663.06,22.977
2025-07-06 18:06:00,663.05,663.06,662.89,662.89,27.816
2025-07-06 18:07:00,662.9,663.3,662.89,663.3,85.455
2025-07-06 18:08:00,663.3,663.3,663.29,663.29,6.774
2025-07-06 18:09:00,663.3,663.3,663.17,663.17,22.518
2025-07-06 18:10:00,663.18,663.3,663.17,663.29,9.267
2025-07-06 18:11:00,663.29,663.3,663.29,663.3,13.344
2025-07-06 18:12:00,663.3,663.3,663.29,663.29,5.687
2025-07-06 18:13:00,663.29,663.3,663.29,663.3,19.382
2025-07-06 18:14:00,663.3,663.35,663.29,663.34,11.347
2025-07-06 18:15:00,663.34,663.42,663.29,663.3,166.255
2025-07-06 18:16:00,663.3,663.31,663.18,663.22,183.729
2025-07-06 18:17:00,663.23,663.23,663.2,663.21,16.439
2025-07-06 18:18:00,663.2,663.21,663.15,663.15,39.733
2025-07-06 18:19:00,663.16,663.16,663.15,663.15,7.397
2025-07-06 18:20:00,663.16,663.3,663.15,663.29,77.96
2025-07-06 18:21:00,663.3,663.3,663.29,663.29,8.204
2025-07-06 18:22:00,663.3,663.3,663.14,663.15,50.869
2025-07-06 18:23:00,663.15,663.15,662.76,662.76,61.643
2025-07-06 18:24:00,662.76,662.85,662.53,662.64,274.436
2025-07-06 18:25:00,662.65,662.76,662.64,662.75,18.405
2025-07-06 18:26:00,662.76,662.81,662.64,662.65,198.486
2025-07-06 18:27:00,662.66,662.66,662.31,662.31,755.103
2025-07-06 18:28:00,662.3,662.4,662.12,662.12,465.792
2025-07-06 18:29:00,662.12,662.3,662.11,662.29,27.31
2025-07-06 18:30:00,662.3,662.5,662.29,662.5,41.653
2025-07-06 18:31:00,662.5,662.73,662.5,662.73,49.848
2025-07-06 18:32:00,662.73,662.95,662.73,662.78,109.876
2025-07-06 18:33:00,662.78,662.95,662.72,662.94,20.584
2025-07-06 18:34:00,662.95,662.95,662.0,662.06,68.09
2025-07-06 18:35:00,662.07,662.16,661.88,661.88,28.904
2025-07-06 18:36:00,661.88,662.03,661.83,661.92,33.554
2025-07-06 18:37:00,661.93,662.2,661.93,662.19,22.432
2025-07-06 18:38:00,662.2,662.5,662.19,662.49,64.459
2025-07-06 18:39:00,662.5,662.58,662.49,662.58,34.518
2025-07-06 18:40:00,662.57,662.77,662.57,662.58,122.173
2025-07-06 18:41:00,662.57,662.58,662.33,662.56,33.157
2025-07-06 18:42:00,662.57,662.57,662.3,662.31,34.723
2025-07-06 18:43:00,662.31,662.31,661.92,662.01,74.876
2025-07-06 18:44:00,662.01,662.16,661.95,662.15,52.011
2025-07-06 18:45:00,662.15,662.37,661.45,661.61,282.645
2025-07-06 18:46:00,661.6,661.77,661.44,661.71,100.909
2025-07-06 18:47:00,661.71,661.72,661.29,661.39,50.639
2025-07-06 18:48:00,661.4,661.4,661.26,661.26,30.597
2025-07-06 18:49:00,661.27,661.53,661.2,661.53,98.189
2025-07-06 18:50:00,661.54,661.9,661.53,661.88,45.453
2025-07-06 18:51:00,661.88,661.88,661.25,661.59,152.472
2025-07-06 18:52:00,661.59,661.63,661.5,661.53,28.908
2025-07-06 18:53:00,661.53,661.77,661.53,661.6,64.989
2025-07-06 18:54:00,661.6,661.6,661.44,661.45,40.831
2025-07-06 18:55:00,661.45,661.74,661.44,661.74,179.313
2025-07-06 18:56:00,661.74,661.95,661.74,661.94,24.805
2025-07-06 18:57:00,661.95,662.0,661.94,662.0,11.58
2025-07-06 18:58:00,662.0,662.09,661.99,662.09,30.614
2025-07-06 18:59:00,662.09,662.25,662.09,662.25,22.829
2025-07-06 19:00:00,662.25,662.45,662.24,662.44,62.976
2025-07-06 19:01:00,662.44,662.74,662.44,662.73,200.38
2025-07-06 19:02:00,662.74,663.0,662.73,662.96,112.457
2025-07-06 19:03:00,662.96,663.08,662.96,663.07,44.941
2025-07-06 19:04:00,663.08,663.17,663.07,663.17,30.697
2025-07-06 19:05:00,663.17,663.17,663.16,663.16,24.511
2025-07-06 19:06:00,663.17,663.18,663.16,663.18,21.383
2025-07-06 19:07:00,663.17,663.18,663.17,663.18,26.426
2025-07-06 19:08:00,663.18,663.3,663.17,663.3,39.166
2025-07-06 19:09:00,663.29,663.32,663.29,663.31,27.437
2025-07-06 19:10:00,663.31,663.31,663.13,663.25,107.725
2025-07-06 19:11:00,663.25,663.28,663.24,663.27,14.382
2025-07-06 19:12:00,663.28,663.38,663.27,663.28,41.504
2025-07-06 19:13:00,663.28,663.4,663.28,663.39,44.244
2025-07-06 19:14:00,663.4,663.49,663.39,663.49,33.0
2025-07-06 19:15:00,663.49,663.58,663.48,663.58,39.943
2025-07-06 19:16:00,663.58,663.58,663.57,663.57,9.007
2025-07-06 19:17:00,663.57,663.58,663.44,663.44,28.832
2025-07-06 19:18:00,663.44,663.45,663.44,663.44,10.134
2025-07-06 19:19:00,663.45,663.45,663.44,663.44,12.582
2025-07-06 19:20:00,663.44,663.45,663.34,663.34,17.352
2025-07-06 19:21:00,663.35,663.35,663.34,663.34,12.131
2025-07-06 19:22:00,663.34,663.35,663.34,663.34,22.036
2025-07-06 19:23:00,663.35,663.42,663.3,663.3,34.65
2025-07-06 19:24:00,663.3,663.37,663.19,663.36,22.168
2025-07-06 19:25:00,663.37,663.37,663.36,663.37,15.008
2025-07-06 19:26:00,663.36,663.38,663.36,663.37,32.896
2025-07-06 19:27:00,663.38,663.38,663.36,663.37,5.895
2025-07-06 19:28:00,663.37,663.37,663.36,663.36,6.211
2025-07-06 19:29:00,663.36,663.37,663.36,663.36,7.65
2025-07-06 19:30:00,663.37,663.37,663.36,663.37,10.694
2025-07-06 19:31:00,663.36,663.37,663.32,663.32,15.289
2025-07-06 19:32:00,663.33,663.33,663.21,663.21,26.772
2025-07-06 19:33:00,663.21,663.22,662.72,662.72,41.613
2025-07-06 19:34:00,662.73,662.87,662.72,662.84,20.135
2025-07-06 19:35:00,662.84,663.08,662.84,663.08,66.847
2025-07-06 19:36:00,663.07,663.08,663.07,663.07,5.913
2025-07-06 19:37:00,663.08,663.08,662.96,662.96,108.476
2025-07-06 19:38:00,662.97,662.97,662.73,662.73,250.308
2025-07-06 19:39:00,662.74,662.82,662.73,662.81,37.775
2025-07-06 19:40:00,662.81,662.82,662.81,662.82,28.61
2025-07-06 19:41:00,662.81,663.01,662.81,662.9,176.854
2025-07-06 19:42:00,662.91,662.91,662.65,662.65,202.36
2025-07-06 19:43:00,662.65,662.66,662.5,662.5,106.034
2025-07-06 19:44:00,662.5,662.51,662.5,662.5,14.284
2025-07-06 19:45:00,662.5,662.51,662.36,662.36,23.062
2025-07-06 19:46:00,662.37,662.37,662.35,662.35,33.028
2025-07-06 19:47:00,662.36,662.37,662.25,662.32,175.042
2025-07-06 19:48:00,662.32,662.37,662.2,662.3,338.473
2025-07-06 19:49:00,662.3,662.33,662.2,662.32,90.204
2025-07-06 19:50:00,662.32,662.32,662.25,662.25,20.268
2025-07-06 19:51:00,662.26,662.26,662.25,662.26,9.234
2025-07-06 19:52:00,662.26,662.27,662.18,662.19,116.189
2025-07-06 19:53:00,662.18,662.27,662.18,662.27,17.156
2025-07-06 19:54:00,662.27,662.67,662.26,662.66,147.694
2025-07-06 19:55:00,662.67,662.67,662.51,662.51,33.338
2025-07-06 19:56:00,662.52,662.52,662.51,662.52,13.259
2025-07-06 19:57:00,662.51,662.68,662.51,662.68,19.425
2025-07-06 19:58:00,662.67,662.8,662.67,662.8,4.729
2025-07-06 19:59:00,662.8,663.07,662.79,663.07,25.933
2025-07-06 20:00:00,663.06,663.1,662.94,663.04,78.966
2025-07-06 20:01:00,663.03,663.1,663.0,663.01,17.173
2025-07-06 20:02:00,663.0,663.2,663.0,663.19,33.654
2025-07-06 20:03:00,663.19,663.29,663.07,663.07,199.868
2025-07-06 20:04:00,663.07,663.26,663.07,663.26,15.304
2025-07-06 20:05:00,663.27,663.37,663.27,663.37,10.943
2025-07-06 20:06:00,663.37,663.37,663.36,663.36,26.572
2025-07-06 20:07:00,663.37,663.5,663.36,663.5,49.934
2025-07-06 20:08:00,663.5,663.57,663.49,663.54,36.106
2025-07-06 20:09:00,663.54,663.56,663.53,663.56,38.813
2025-07-06 20:10:00,663.56,663.56,663.4,663.4,31.196
2025-07-06 20:11:00,663.41,663.56,663.35,663.55,418.05
2025-07-06 20:12:00,663.54,663.56,663.54,663.55,54.11
2025-07-06 20:13:00,663.55,663.56,663.55,663.56,43.472
2025-07-06 20:14:00,663.56,663.56,663.45,663.45,78.966
2025-07-06 20:15:00,663.45,663.45,663.23,663.4,56.611
2025-07-06 20:16:00,663.4,663.46,663.39,663.45,9.487
2025-07-06 20:17:00,663.45,663.46,663.45,663.46,5.184
2025-07-06 20:18:00,663.45,663.56,663.45,663.55,42.904
2025-07-06 20:19:00,663.55,663.56,663.55,663.56,30.641
2025-07-06 20:20:00,663.55,663.56,663.47,663.48,28.614
2025-07-06 20:21:00,663.48,663.48,663.47,663.48,9.525
2025-07-06 20:22:00,663.48,663.48,663.22,663.29,38.578
2025-07-06 20:23:00,663.3,663.3,663.25,663.26,37.164
2025-07-06 20:24:00,663.26,663.26,661.35,662.12,1191.12
2025-07-06 20:25:00,662.12,662.51,662.1,662.5,69.075
2025-07-06 20:26:00,662.51,662.51,662.31,662.35,64.613
2025-07-06 20:27:00,662.36,662.36,662.21,662.27,39.995
2025-07-06 20:28:00,662.27,662.28,662.22,662.22,56.744
2025-07-06 20:29:00,662.22,662.23,662.15,662.15,26.228
2025-07-06 20:30:00,662.16,662.27,662.04,662.26,67.784
2025-07-06 20:31:00,662.26,662.35,662.26,662.29,36.715
2025-07-06 20:32:00,662.29,662.32,662.28,662.31,9.971
2025-07-06 20:33:00,662.31,662.32,662.25,662.31,15.602
2025-07-06 20:34:00,662.3,662.31,662.26,662.27,9.819
2025-07-06 20:35:00,662.26,662.33,662.26,662.33,47.331
2025-07-06 20:36:00,662.34,662.34,662.26,662.27,62.475
2025-07-06 20:37:00,662.26,662.27,662.26,662.26,3.49
2025-07-06 20:38:00,662.27,662.27,662.26,662.26,5.472
2025-07-06 20:39:00,662.27,662.27,662.26,662.26,19.688
2025-07-06 20:40:00,662.27,662.27,662.26,662.27,11.329
2025-07-06 20:41:00,662.26,662.27,662.07,662.08,79.577
2025-07-06 20:42:00,662.07,662.28,662.07,662.28,35.693
2025-07-06 20:43:00,662.27,662.28,662.27,662.28,4.503
2025-07-06 20:44:00,662.27,662.28,662.24,662.25,15.862
2025-07-06 20:45:00,662.24,662.32,662.24,662.31,21.421
2025-07-06 20:46:00,662.31,662.5,662.17,662.17,106.363
2025-07-06 20:47:00,662.18,662.18,661.87,661.87,23.373
2025-07-06 20:48:00,661.86,661.87,661.7,661.71,115.882
2025-07-06 20:49:00,661.71,661.8,661.7,661.79,5.989
2025-07-06 20:50:00,661.8,661.8,661.7,661.71,11.655
2025-07-06 20:51:00,661.7,661.71,661.56,661.57,70.308
2025-07-06 20:52:00,661.56,661.7,661.52,661.7,29.757
2025-07-06 20:53:00,661.7,661.7,661.69,661.69,17.187
2025-07-06 20:54:00,661.68,661.69,661.5,661.5,4.621
2025-07-06 20:55:00,661.51,661.51,661.5,661.51,6.207
2025-07-06 20:56:00,661.5,661.51,661.41,661.42,8.046
2025-07-06 20:57:00,661.41,661.42,661.28,661.38,28.861
2025-07-06 20:58:00,661.39,661.44,661.35,661.4,207.751
2025-07-06 20:59:00,661.4,661.4,660.92,661.0,118.119
2025-07-06 21:00:00,661.0,661.1,660.99,661.06,78.036
2025-07-06 21:01:00,661.06,661.17,661.06,661.17,13.813
2025-07-06 21:02:00,661.17,661.37,661.16,661.37,27.979
2025-07-06 21:03:00,661.36,661.45,661.31,661.32,48.418
2025-07-06 21:04:00,661.32,661.32,661.28,661.28,12.813
2025-07-06 21:05:00,661.28,661.28,661.23,661.24,9.945
