type,timestamp,price,quantity,cost,balance,revenue,profit,profit_pct
BUY,2025-07-06 19:01:00,662.73,0.14334646085132707,95.09499999999998,4.905000000000015,,,
SELL,2025-07-06 19:28:00,663.36,0.14334646085132707,,99.900217962066,94.99521796206598,0.0903082703363354,0.09506133719614254
BUY,2025-07-06 20:00:00,663.04,0.14313647300911364,95.00011227102665,4.900105691039343,,,
SELL,2025-07-06 20:24:00,662.12,0.14313647300911364,,99.57885367832486,94.67874798728552,-0.13168555516837868,-0.13875482625482008
BUY,2025-07-06 21:13:00,661.83,0.14293687350892012,94.694510905403,4.884342772921855,,,
SELL,2025-07-06 21:47:00,662.81,0.14293687350892012,,99.52959191423875,94.6452491413169,0.14007813603872807,0.14807427889335698
BUY,2025-07-06 22:03:00,663.79,0.14244431570003588,94.64766543084534,4.881926483393414,,,
SELL,2025-07-06 22:20:00,663.68,0.14244431570003588,,99.32483248374942,94.442906000356,-0.01566887472700589,-0.016571506048601765
BUY,2025-07-06 22:24:00,663.62,0.14218768400524687,94.45294945042149,4.871883033327933,,,
SELL,2025-07-06 22:25:00,663.62,0.14218768400524687,,99.1361153020303,94.26423226870237,0.0,0.0
BUY,2025-07-06 22:45:00,663.93,0.14185126374305845,94.27348884646571,4.862626455564595,,,
SELL,2025-07-06 23:00:00,663.85,0.14185126374305845,,98.93641992995812,94.07379347439353,-0.011348101099434356,-0.012049463045792064
BUY,2025-07-06 23:47:00,662.77,0.14181329712186763,94.08358853239366,4.852831397564458,,,
SELL,2025-07-07 00:11:00,662.72,0.14181329712186763,,98.74135715789997,93.88852576033551,-0.007090664856086932,-0.0075440952366514075
BUY,2025-07-07 00:55:00,661.15,0.14188049504651737,93.89809358930495,4.84326356859502,,,
SELL,2025-07-07 00:56:00,661.15,0.14188049504651737,,98.55374857929996,93.71048501070494,0.0,0.0
BUY,2025-07-07 01:21:00,661.05,0.14163234422560314,93.71968721148528,4.834061367814684,,,
SELL,2025-07-07 01:48:00,660.92,0.14163234422560314,,98.34810266445473,93.51404129664004,-0.018412204749327764,-0.019665683382496853
BUY,2025-07-07 02:02:00,661.7,0.14119797118215502,93.5241282287632,4.823974435691525,,,
SELL,2025-07-07 02:30:00,662.46,0.14119797118215502,,98.26844441703263,93.4444699813411,0.10731045809843653,0.11485567477708793
BUY,2025-07-07 02:45:00,662.4,0.14093451418505584,93.44837721837715,4.8200671986554795,,,
SELL,2025-07-07 02:53:00,661.97,0.14093451418505584,,98.02119313338181,93.20112593472633,-0.06060184109956696,-0.06491545893719051
BUY,2025-07-07 03:11:00,662.13,0.1406372366102015,93.21325361018943,4.807939523192388,,,
SELL,2025-07-07 03:37:00,661.58,0.1406372366102015,,97.75767973677293,92.94974021358054,-0.07735048013560443,-0.08306525908808761
BUY,2025-07-07 04:05:00,660.82,0.14053720491197946,92.96266554568419,4.79501419108874,,,
SELL,2025-07-07 04:13:00,660.9,0.14053720491197946,,97.58317187868963,92.78815768760089,0.011242976392948132,0.01210617112071778
BUY,2025-07-07 04:34:00,661.3,0.140184505193944,92.7967172980399,4.786454580649732,,,
SELL,2025-07-07 04:49:00,661.17,0.140184505193944,,97.37955809043059,92.59310350978086,-0.018223985675212082,-0.019658248903673896
BUY,2025-07-07 04:57:00,661.2,0.13991315817590602,92.60309076609497,4.776467324335627,,,
SELL,2025-07-07 05:08:00,661.01,0.13991315817590602,,97.16798001350541,92.39151268916979,-0.026583500053429777,-0.028735632183916296
BUY,2025-07-07 05:25:00,661.25,0.13959861022734235,92.40189059384295,4.766089419662464,,,
SELL,2025-07-07 05:47:00,661.25,0.13959861022734235,,96.98336085147977,92.21727143181731,0.0,0.0
BUY,2025-07-07 06:06:00,661.13,0.13935866290881638,92.22632700171467,4.757033849765108,,,
SELL,2025-07-07 06:12:00,661.26,0.13935866290881638,,96.81719097541395,92.06015712564884,0.018116626178145495,0.019663303737539585
BUY,2025-07-07 06:14:00,661.74,0.13899164539946693,92.06830775806988,4.748883217344073,,,
SELL,2025-07-07 06:37:00,661.49,0.13899164539946693,,96.59852514912215,91.84964193177808,-0.03474791134986673,-0.03777918820080394
BUY,2025-07-07 07:06:00,661.11,0.13880987867626574,91.8603674905577,4.738157658564447,,,
SELL,2025-07-07 08:06:00,662.29,0.13880987867626574,,96.57861981251997,91.84046215395553,0.16379565683798664,0.17848769493729486
BUY,2025-07-07 08:29:00,662.32,0.138527734058905,91.84143851071585,4.737181301804128,,,
SELL,2025-07-07 08:53:00,662.6,0.138527734058905,,96.43386941264717,91.69668811084304,0.03878776553648962,0.042275637154241555
BUY,2025-07-07 09:00:00,663.19,0.13813865700932582,91.7037881179568,4.730081294690365,,,
SELL,2025-07-07 09:18:00,662.9,0.13813865700932582,,96.21062491044097,91.4805436157506,-0.04006021053271516,-0.04372804173767356
BUY,2025-07-07 09:59:00,662.48,0.1379665705604983,91.49149375858381,4.719131151857155,,,
SELL,2025-07-07 10:02:00,662.46,0.1379665705604983,,96.02506815103135,91.3059369991742,-0.0027593314112074564,-0.003018959062912361
BUY,2025-07-07 10:03:00,662.15,0.13776910782070492,91.31503855822324,4.710029592808112,,,
SELL,2025-07-07 10:04:00,661.83,0.13776910782070492,,95.79857849315628,91.08854890034817,-0.044086114502616805,-0.0483274182586931
BUY,2025-07-07 10:18:00,662.88,0.1372927974422195,91.09965821806696,4.698920275089321,,,
SELL,2025-07-07 10:30:00,662.12,0.1372927974422195,,95.51232301048927,90.81340273539995,-0.10434252605608557,-0.11465121892348401
BUY,2025-07-07 10:57:00,661.86,0.13709350445708277,90.82744356682475,4.684879443664514,,,
SELL,2025-07-07 10:58:00,661.81,0.13709350445708277,,95.32400177622172,90.6391223325572,-0.00685467522286349,-0.007554467712215305
BUY,2025-07-07 11:11:00,662.02,0.1367901297353715,90.64835948909803,4.675642287123694,,,
SELL,2025-07-07 11:20:00,661.46,0.1367901297353715,,95.06636030266776,90.39071801554407,-0.07660247265180058,-0.0845895894383773
BUY,2025-07-07 11:30:00,662.53,0.13631540049135038,90.40335532982188,4.663004972845883,,,
SELL,2025-07-07 11:43:00,662.48,0.13631540049135038,,94.87892526383817,90.21592029099229,-0.0068157700245613205,-0.007546828068156089
BUY,2025-07-07 11:51:00,662.04,0.13614733097795642,90.2251139796469,4.6538112841912636,,,
SELL,2025-07-07 11:54:00,662.2,0.13614733097795642,,94.72041709522041,90.06660581102915,0.02178357295648417,0.02416772400460423
BUY,2025-07-07 12:00:00,662.22,0.13588293352731629,90.07438063669984,4.64603645852057,,,
SELL,2025-07-07 12:09:00,662.16,0.13588293352731629,,94.53230347970387,89.8862670211833,-0.00815297601164701,-0.009060433088710566
BUY,2025-07-07 12:33:00,661.45,0.13577094006458335,89.89549399402436,4.636809485679507,,,
SELL,2025-07-07 12:55:00,661.4,0.13577094006458335,,94.34591034463621,89.7091008589567,-0.006788547003238428,-0.007559150351510803
BUY,2025-07-07 13:09:00,661.51,0.13549094469834833,89.7182434422318,4.627666902404414,,,
SELL,2025-07-07 13:15:00,661.01,0.13549094469834833,,94.09897538810459,89.47130848570018,-0.06774547234917416,-0.07558464724645131
BUY,2025-07-07 13:29:00,662.14,0.13500774249962147,89.48342064531805,4.615554742786543,,,
SELL,2025-07-07 13:41:00,661.42,0.13500774249962147,,93.82307896584207,89.20752422305553,-0.09720557459973114,-0.10873833328299565
BUY,2025-07-07 13:54:00,662.13,0.13461393535642543,89.22105694256751,4.602022023274557,,,
SELL,2025-07-07 14:14:00,661.07,0.13461393535642543,,93.50226703510066,88.9002450118261,-0.14269077147780362,-0.1600894084243193
BUY,2025-07-07 14:52:00,660.24,0.1345376736994814,88.91598083702895,4.586286198071704,,,
SELL,2025-07-07 15:06:00,659.7,0.1345376736994814,,93.25203503428006,88.66574883620835,-0.07265034379771507,-0.08178844056706101
BUY,2025-07-07 15:10:00,660.49,0.13412683505059284,88.67802271584861,4.574012318431443,,,
SELL,2025-07-07 15:21:00,659.32,0.13412683505059284,,92.91808469910276,88.34407238067132,-0.15692839700918812,-0.17714121334160382
BUY,2025-07-07 15:34:00,659.82,0.13378221403435425,88.36045264461177,4.557632054490995,,,
SELL,2025-07-07 15:42:00,659.31,0.13378221403435425,,92.6733796379461,88.1157475834551,-0.06822892915753466,-0.07729380740203458
BUY,2025-07-07 16:19:00,658.38,0.1337217270513211,88.12775036670482,4.545629271241282,,,
SELL,2025-07-07 16:21:00,657.28,0.1337217270513211,,92.35035341077732,87.80472413953603,-0.14709389975645626,-0.1670767641787452
BUY,2025-07-07 16:38:00,657.75,0.1333832546411835,87.82056857597867,4.529784834798647,,,
SELL,2025-07-07 16:51:00,657.72,0.1333832546411835,,92.17089024315527,87.64110540835662,-0.004001497639231866,-0.004561003420748417
BUY,2025-07-07 17:12:00,658.04,0.13306538467418016,87.6499080767285,4.520982166426776,,,
SELL,2025-07-07 17:46:00,658.99,0.13306538467418016,,92.12205125501833,87.60106908859156,0.1264121154404772,0.14436812351833408
BUY,2025-07-07 17:54:00,658.71,0.1328596023929611,87.60346464095967,4.518586614058663,,,
SELL,2025-07-07 17:57:00,658.99,0.1328596023929611,,91.98418284561517,87.4655962315565,0.03720068867002548,0.04250732492295133
