timestamp,portfolio_value,price
2025-07-06 17:50:00,100.0,663.09
2025-07-06 17:51:00,100.0,663.09
2025-07-06 17:52:00,100.0,662.95
2025-07-06 17:53:00,100.0,662.89
2025-07-06 17:54:00,100.0,662.76
2025-07-06 17:55:00,100.0,662.76
2025-07-06 17:56:00,100.0,662.81
2025-07-06 17:57:00,100.0,662.86
2025-07-06 17:58:00,100.0,662.89
2025-07-06 17:59:00,100.0,662.85
2025-07-06 18:00:00,100.0,662.97
2025-07-06 18:01:00,100.0,662.97
2025-07-06 18:02:00,100.0,662.97
2025-07-06 18:03:00,100.0,662.93
2025-07-06 18:04:00,100.0,662.99
2025-07-06 18:05:00,100.0,663.06
2025-07-06 18:06:00,100.0,662.89
2025-07-06 18:07:00,100.0,663.3
2025-07-06 18:08:00,100.0,663.29
2025-07-06 18:09:00,100.0,663.17
2025-07-06 18:10:00,100.0,663.29
2025-07-06 18:11:00,100.0,663.3
2025-07-06 18:12:00,100.0,663.29
2025-07-06 18:13:00,100.0,663.3
2025-07-06 18:14:00,100.0,663.34
2025-07-06 18:15:00,100.0,663.3
2025-07-06 18:16:00,100.0,663.22
2025-07-06 18:17:00,100.0,663.21
2025-07-06 18:18:00,100.0,663.15
2025-07-06 18:19:00,100.0,663.15
2025-07-06 18:20:00,100.0,663.29
2025-07-06 18:21:00,100.0,663.29
2025-07-06 18:22:00,100.0,663.15
2025-07-06 18:23:00,100.0,662.76
2025-07-06 18:24:00,100.0,662.64
2025-07-06 18:25:00,100.0,662.75
2025-07-06 18:26:00,100.0,662.65
2025-07-06 18:27:00,100.0,662.31
2025-07-06 18:28:00,100.0,662.12
2025-07-06 18:29:00,100.0,662.29
2025-07-06 18:30:00,100.0,662.5
2025-07-06 18:31:00,100.0,662.73
2025-07-06 18:32:00,100.0,662.78
2025-07-06 18:33:00,100.0,662.94
2025-07-06 18:34:00,100.0,662.06
2025-07-06 18:35:00,100.0,661.88
2025-07-06 18:36:00,100.0,661.92
2025-07-06 18:37:00,100.0,662.19
2025-07-06 18:38:00,100.0,662.49
2025-07-06 18:39:00,100.0,662.58
2025-07-06 18:40:00,100.0,662.58
2025-07-06 18:41:00,100.0,662.56
2025-07-06 18:42:00,100.0,662.31
2025-07-06 18:43:00,100.0,662.01
2025-07-06 18:44:00,100.0,662.15
2025-07-06 18:45:00,100.0,661.61
2025-07-06 18:46:00,100.0,661.71
2025-07-06 18:47:00,100.0,661.39
